timestamp,load_kw,price_yuan_per_kwh,ambient_temp_c,hour,weekday,is_weekend
2024-07-01 00:00:00,746.28,0.247,26.15,0,0,0
2024-07-01 00:15:00,749.1,0.247,25.38,0,0,0
2024-07-01 00:30:00,785.44,0.247,25.76,0,0,0
2024-07-01 00:45:00,810.98,0.247,26.23,0,0,0
2024-07-01 01:00:00,734.06,0.247,24.62,1,0,0
2024-07-01 01:15:00,788.01,0.247,24.43,1,0,0
2024-07-01 01:30:00,787.37,0.247,25.72,1,0,0
2024-07-01 01:45:00,833.32,0.247,24.93,1,0,0
2024-07-01 02:00:00,790.76,0.247,23.83,2,0,0
2024-07-01 02:15:00,809.19,0.247,24.55,2,0,0
2024-07-01 02:30:00,803.39,0.247,23.68,2,0,0
2024-07-01 02:45:00,748.87,0.247,23.64,2,0,0
2024-07-01 03:00:00,818.44,0.247,24.19,3,0,0
2024-07-01 03:15:00,805.17,0.247,22.48,3,0,0
2024-07-01 03:30:00,812.2,0.247,22.67,3,0,0
2024-07-01 03:45:00,894.23,0.247,23.67,3,0,0
2024-07-01 04:00:00,749.98,0.247,23.39,4,0,0
2024-07-01 04:15:00,841.39,0.247,24.57,4,0,0
2024-07-01 04:30:00,793.1,0.247,23.73,4,0,0
2024-07-01 04:45:00,806.9,0.247,23.49,4,0,0
2024-07-01 05:00:00,798.91,0.247,25.98,5,0,0
2024-07-01 05:15:00,789.82,0.247,24.83,5,0,0
2024-07-01 05:30:00,786.32,0.247,25.29,5,0,0
2024-07-01 05:45:00,807.91,0.247,24.35,5,0,0
2024-07-01 06:00:00,763.59,0.247,25.32,6,0,0
2024-07-01 06:15:00,818.01,0.247,26.13,6,0,0
2024-07-01 06:30:00,790.01,0.247,25.43,6,0,0
2024-07-01 06:45:00,772.88,0.247,26.97,6,0,0
2024-07-01 07:00:00,789.2,0.247,26.52,7,0,0
2024-07-01 07:15:00,889.46,0.247,27.11,7,0,0
2024-07-01 07:30:00,1077.34,0.247,27.22,7,0,0
2024-07-01 07:45:00,1448.98,0.247,29.55,7,0,0
2024-07-01 08:00:00,1592.21,0.65,28.44,8,0,0
2024-07-01 08:15:00,1656.6,0.65,27.98,8,0,0
2024-07-01 08:30:00,1771.73,0.65,29.87,8,0,0
2024-07-01 08:45:00,1777.0,0.65,28.63,8,0,0
2024-07-01 09:00:00,1770.17,0.65,30.17,9,0,0
2024-07-01 09:15:00,1751.26,0.65,28.82,9,0,0
2024-07-01 09:30:00,1778.86,0.65,29.72,9,0,0
2024-07-01 09:45:00,1939.58,0.65,31.33,9,0,0
2024-07-01 10:00:00,1872.4,1.105,32.14,10,0,0
2024-07-01 10:15:00,1950.26,1.105,32.07,10,0,0
2024-07-01 10:30:00,1898.87,1.105,32.2,10,0,0
2024-07-01 10:45:00,1909.35,1.105,32.41,10,0,0
2024-07-01 11:00:00,1874.38,1.38125,31.82,11,0,0
2024-07-01 11:15:00,1920.72,1.38125,32.76,11,0,0
2024-07-01 11:30:00,1911.74,1.38125,33.28,11,0,0
2024-07-01 11:45:00,1993.99,1.38125,34.8,11,0,0
2024-07-01 12:00:00,1733.45,0.65,34.52,12,0,0
2024-07-01 12:15:00,1638.93,0.65,33.1,12,0,0
2024-07-01 12:30:00,1721.23,0.65,35.02,12,0,0
2024-07-01 12:45:00,1639.66,0.65,34.68,12,0,0
2024-07-01 13:00:00,1997.34,0.65,34.65,13,0,0
